id;key;shift_start;shift_end;type
1;26831;2023-12-31T12:54:39;2023-12-31T15:24:49;excepting
2;17875;2023-12-31T14:24:28;2023-12-31T06:01:33;yum aged blah
3;26109;2023-12-31T11:55:09;2023-12-31T11:30:20;dreary unlike
4;18006;2023-12-31T08:51:58;2024-01-01T03:15:39;even mortally
5;27826;2023-12-31T07:00:48;2023-12-31T10:10:34;kookily minor unimpressively
6;6933;2023-12-31T04:34:51;2024-01-01T00:52:00;boomerang
7;4897;2024-01-01T03:24:27;2023-12-31T13:20:48;ugh comfort
8;2271;2024-01-01T00:54:09;2023-12-31T21:01:15;giant ah at
9;25343;2023-12-31T06:33:40;2024-01-01T00:28:22;aware scarily this
10;11092;2023-12-31T10:57:49;2023-12-31T09:57:47;wilted between
