id;key;shift_start;shift_end;type
1;32454;2023-12-31T11:26:27;2023-12-31T21:51:19;shiny
2;29333;2024-01-01T01:15:15;2023-12-31T12:33:32;gadzooks healthily although
3;32453;2023-12-31T14:56:56;2023-12-31T12:29:03;provided mealy sabre
4;31546;2023-12-31T23:41:37;2023-12-31T12:56:51;blah phooey
5;27366;2023-12-31T15:10:42;2023-12-31T10:45:07;jubilantly
6;6867;2023-12-31T20:51:41;2023-12-31T11:15:08;whenever ugh
7;18542;2024-01-01T00:18:04;2023-12-31T14:54:23;yuck
8;18085;2024-01-01T03:31:03;2023-12-31T12:11:30;duh concerning
9;9132;2023-12-31T12:34:57;2023-12-31T23:01:27;inside
10;22001;2023-12-31T14:51:56;2024-01-01T01:38:47;judgementally amidst
